SYMBOL,CONCHAR,CONTRACT,DATABRON,DATUM,tickid,NUMTRAD,NUMCROS,VOL,OI,ALTCLS,RANGEMIN,TRADMIN,CODEZ,CODEM,CODEMTIJD,ZTIJD,BLOCKVOL,STARTTIJD,EINDTIJD,OIDATUM,VOLDATUM,HIGH,LOW,DAGVOL,HIGHEXTP,LOWEXTP,HIGHEXVP,LOWEXVP,HIGHEXTP20,LOWEXTP20,HIGHEXVP5,LOWEXVP5,OPEN,HOOG,LAAG,SLOT,TRADVOLMIN,LASTTRADE,INDEX,TCLOSE1,TCLOSE2,LASTACTM1,LASTACTM2,TCLOSE,FIRSTTIJD,STARTEIND,LASTM,LASTMTIJD,NOI,NVOL,OOI,OVOL,FEESTDAG,KSHAREOUT,TOPEN1,TOPEN2,TOPEN,BIDASKRANGE,FLINKRANGE,BIGRANGE,HIGHEXVPTIME,LOWEXVPTIME,HIGHEXTPTIME,LOWEXTPTIME,LASTACTM,LASTACTMTIJD,HOOGTIJD,LAAGTIJD,LIM,LIMC,BBID,BASK,KASPRIJS,KASTIJD,TIKBRON,OPM,APPL,ID,OPEN1,OPEN2,CLOSE1,CLOSE2,SETTLE,LIMPRC,conteindtijd,PRESTARTTIJD,fdatum,posthigh,postlow,prehigh,prelow
ES,INDEX,,,15070,,240777,,1656711,2682037,,,,,,,,,,,,,,,,,,,,,,,,1335.94,1339.38,1331.09,1335.54,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-04-06,,,,
ES,INDEX,,,15071,,375816,,2180972,2672478,,,,,,,,,,,,,,,,,,,,,,,,1334.82,1338.8,1326.56,1333.51,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-04-07,,,,
ES,INDEX,,,15072,,272592,,1861606,2709109,,,,,,,,,,,,,,,,,,,,,,,,1336.16,1339.46,1322.94,1328.17,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-04-08,,,,
ES,INDEX,,,15075,,258251,,1528260,2698386,,,,,,,,,,,,,,,,,,,,,,,,1329.01,1333.77,1321.06,1324.46,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-04-11,,,,
ES,INDEX,,,15076,,320671,,2079367,2705080,,,,,,,,,,,,,,,,,,,,,,,,1321.96,1321.96,1309.51,1314.16,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-04-12,,,,
ES,INDEX,,,15077,,308908,,1895245,2695345,,,,,,,,,,,,,,,,,,,,,,,,1314.03,1321.35,1309.19,1314.41,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-04-13,,,,
ES,INDEX,,,15078,,340367,,2024221,2678515,,,,,,,,,,,,,,,,,,,,,,,,1311.13,1316.79,1302.42,1314.52,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-04-14,,,,
ES,INDEX,,,15079,,268782,,1637804,2701794,,,,,,,,,,,,,,,,,,,,,,,,1314.54,1322.88,1313.68,1319.68,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-04-15,,,,
ES,INDEX,,,15082,,430261,,2258395,2697196,,,,,,,,,,,,,,,,,,,,,,,,1313.35,1313.35,1294.7,1305.14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-04-18,,,,
ES,INDEX,,,15083,,254148,,1528098,2702973,,,,,,,,,,,,,,,,,,,,,,,,1305.99,1312.7,1303.97,1312.62,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,2011-04-19,,,,
